User Id,Gender,Age,Estimated salary,Purchased
9845162,Female,35,23000,0
7532491,Female,27,58000,0
6318402,Female,24,55000,0
5782093,Female,23,48000,0
4921578,Male,28,79000,0
8653124,Male,22,18000,0
2175694,Female,32,117000,0
9358274,Male,27,20000,0
4729638,Male,25,87000,0
6483921,Female,23,66000,0
5297146,Male,32,120000,1
8763519,Female,59,83000,0
3429561,Male,24,58000,0
7154893,Male,24,19000,0
6938147,Female,23,82000,0
2816473,Female,22,63000,0
7342569,Female,31,68000,0
5691243,Male,25,80000,0
8172534,Female,24,27000,0
4258376,Female,20,23000,0
9647513,Female,33,113000,0
5382976,Male,32,18000,0
4713628,Male,34,112000,1
8295714,Male,18,52000,0
7156832,Female,22,27000,0
6489173,Female,28,87000,0
3749651,Female,26,17000,0
8263145,Male,30,80000,0
5926741,Male,39,42000,0
7159326,Male,20,49000,0
6491375,Male,35,88000,0
3189645,Female,30,62000,0
8756312,Female,31,118000,1
5428963,Male,24,55000,0
1972485,Female,28,85000,0
6137549,Male,26,81000,0
4398715,Male,35,50000,0
8265713,Male,22,81000,0
9138642,Female,30,116000,0
7482593,Male,26,15000,0
6913485,Female,29,28000,0
2361974,Female,29,83000,0
4158376,Female,35,44000,0
8571962,Female,35,25000,0
6327941,Male,28,123000,1
5941673,Male,35,73000,0
8439216,Female,28,37000,0
7692485,Male,27,88000,0
3128954,Male,28,59000,0
6892547,Female,32,86000,0
5243769,Female,33,149000,1
4179836,Female,19,21000,0
9641257,Male,21,72000,0
2568314,Female,26,35000,0
7984231,Male,27,89000,0
3762915,Male,26,86000,0
5829746,Female,38,80000,0
7513962,Female,39,71000,0
2495873,Female,37,71000,0
6137592,Male,38,61000,0
8723946,Male,37,55000,0
9358621,Male,42,80000,0
4627391,Male,40,57000,0
8756431,Male,35,75000,0
5231867,Male,36,52000,0
6495273,Male,40,59000,0
8216354,Male,41,59000,0
3479265,Female,36,75000,0
9158643,Male,37,72000,0
7423569,Female,40,75000,0
5813769,Male,35,53000,0
9364512,Female,41,51000,0
8149263,Female,39,61000,0
3279165,Male,42,65000,0
8561423,Male,26,32000,0
7398214,Male,30,17000,0
4653192,Female,26,84000,0
8724395,Male,31,58000,0
6912473,Male,33,31000,0
5382946,Male,30,87000,0
1749265,Female,21,68000,0
9568132,Female,28,55000,0
4826315,Male,23,63000,0
7392861,Female,20,82000,0
6253849,Male,30,107000,1
5729486,Female,28,59000,0
3915247,Male,19,25000,0
8251637,Male,19,85000,0
1978456,Female,18,68000,0
6432579,Male,35,59000,0
7283651,Male,30,89000,0
5913647,Female,34,25000,0
8361925,Female,24,89000,0
4179635,Female,27,96000,1
6589321,Female,41,30000,0
2945186,Male,29,61000,0
8657912,Male,20,74000,0
4315876,Female,26,15000,0
7826149,Male,41,45000,0
5397824,Male,31,76000,0
8143659,Female,36,50000,0
6728193,Male,40,47000,0
9357861,Female,31,15000,0
5713926,Male,46,59000,0
4821965,Male,29,75000,0
7962518,Male,26,30000,0
3847956,Female,32,135000,1
9524671,Male,32,100000,1
4785193,Male,25,90000,0
3619852,Female,37,33000,0
8972136,Male,35,38000,0
5248397,Female,33,69000,0
6491523,Female,18,86000,0
7429853,Female,22,55000,0
3962478,Female,35,71000,0
8257394,Male,29,148000,1
5789134,Female,29,47000,0
4316897,Male,21,88000,0
8692153,Male,34,115000,0
7529481,Female,26,118000,0
9162548,Female,34,43000,0
6471325,Female,34,72000,0
8725491,Female,23,28000,0
3958617,Female,35,47000,0
5384791,Male,25,22000,0
6729541,Male,24,23000,0
4918236,Female,31,34000,0
