User Id,Gender,Age,Estimated Salary,Purchased
40293164,Male,28,57000,1
70824501,Male,22,63000,0
57293086,Female,32,73000,0
10387265,Male,27,112000,0
68901423,Male,25,79000,0
52796183,Female,23,117000,0
84573012,Male,32,38000,0
23981654,Female,59,74000,0
90147528,Male,24,137000,0
61389275,Male,24,79000,0
41620937,Female,23,60000,0
78543019,Male,22,54000,0
52789043,Male,31,134000,0
34029875,Female,25,113000,0
96137480,Male,24,125000,1
50281947,Male,20,50000,0
87301942,Female,33,70000,0
62940137,Male,32,96000,0
48102579,Male,34,50000,0
36250918,Female,18,141000,0
70581249,Male,22,79000,0
38475290,Female,28,75000,0
92650371,Male,26,104000,0
14829375,Male,30,55000,0
50293618,Female,39,32000,0
93107482,Male,47,60000,0
82036417,Male,45,138000,0
50947238,Female,46,82000,0
82795401,Male,48,52000,0
63047295,Male,45,30000,0
18972064,Female,47,131000,0
50371984,Male,48,60000,0
92630174,Male,45,72000,0
74026981,Female,46,75000,0
59103478,Male,47,118000,1
69218750,Male,49,107000,0
23578190,Female,47,51000,1
80293714,Male,29,119000,0
61398740,Male,31,65000,1
30912857,Female,31,65000,0
64792805,Male,27,60000,1
51392807,Female,21,54000,0
70813952,Male,28,144000,1
49287103,Male,27,79000,1
53027849,Female,35,55000,0
84275019,Female,33,122000,0
93107458,Male,30,104000,0
38274091,Female,26,75000,1
62983047,Male,27,65000,0
87502349,Female,27,51000,0
13928570,Male,33,105000,0
74890532,Female,35,63000,1
27068193,Male,30,72000,0
95120783,Female,28,108000,1
43019278,Male,23,77000,1
89524703,Female,25,61000,1
73294801,Male,27,113000,0
87490513,Female,30,75000,0
51209487,Male,31,90000,1
64987102,Female,24,57000,1
87409125,Male,18,99000,0
30692518,Female,29,34000,1
19486302,Male,35,70000,1
84792301,Female,27,72000,0
40392815,Male,24,71000,1
78240139,Female,23,54000,1
59837124,Male,28,129000,0
82714903,Female,22,34000,1
63120478,Male,32,50000,0
42809153,Female,27,79000,0
90521738,Male,25,104000,0
23981750,Female,23,29000,1
83091472,Male,32,47000,1
48501937,Female,59,88000,0
70294835,Male,24,71000,1
58203917,Female,24,26000,1
92718034,Male,23,46000,0
37082159,Female,22,83000,1
29407815,Male,31,73000,0
48295730,Female,25,130000,1
71592348,Male,24,80000,0
80349172,Female,20,32000,1
94021753,Male,33,74000,0
58219730,Female,32,53000,0
69478123,Male,34,87000,1
30297485,Female,18,23000,1
89021473,Male,22,64000,0
72509483,Female,28,33000,1
60371942,Male,26,139000,0
85927401,Male,30,28000,0
31029785,Female,39,33000,1
69481203,Male,47,60000,1
57084391,Female,45,39000,0
84279031,Male,46,71000,1
93781025,Female,48,34000,1
41987052,Male,45,35000,0
58019437,Female,47,33000,1
73250498,Male,48,23000,1
84179230,Female,45,45000,1
59731804,Male,46,42000,1
63180749,Female,47,59000,1
58097432,Male,49,41000,0
84290517,Female,47,23000,0
37029815,Male,29,20000,0
49187230,Female,31,33000,1
82704195,Male,31,36000,0
19684370,Female,27,80000,0
58230741,Male,21,57000,0
94178230,Female,28,75000,0
72840193,Male,27,52000,0
49235718,Female,35,59000,0
50439817,Male,33,59000,0
81429730,Female,30,75000,0
39128407,Male,26,72000,0
72103985,Female,27,75000,0
50392874,Male,27,53000,0
96143078,Female,33,51000,0
80574912,Male,35,61000,0
31708924,Female,30,65000,0
62984037,Male,28,32000,0
94730182,Female,23,17000,0
58372094,Male,25,84000,1
90287431,Female,27,58000,0
63749021,Female,30,31000,0
58970423,Male,31,87000,0
31284790,Male,24,68000,0
50289431,Male,18,55000,0
74820193,Male,29,63000,0
30792185,Male,35,82000,0
82197305,Male,27,107000,0
95872403,Male,24,59000,0
67420938,Male,23,25000,0
81947032,Female,28,85000,0
70589132,Female,22,68000,0
38209745,Female,32,59000,0
94273801,Female,27,89000,0
67120983,Female,25,25000,1
58412093,Female,23,89000,0
94081273,Female,32,96000,0
79184320,Female,59,30000,0
41392078,Female,24,61000,0
72504891,Female,24,74000,0
38019425,Male,23,15000,0
59230741,Female,22,45000,0
83740921,Male,31,76000,0
64917820,Female,25,50000,0
80234197,Male,24,47000,0
54120983,Female,20,15000,0
94085123,Male,33,59000,1
73520198,Female,32,75000,0
68409231,Male,34,30000,0
57240198,Female,18,135000,0
39084712,Male,22,100000,0
72503489,Female,28,90000,0
60329784,Male,26,33000,0
21897305,Female,30,38000,0
95432087,Male,39,69000,0
87309524,Female,47,86000,0
62103798,Male,45,55000,1
48520793,Female,46,71000,0
93725018,Male,48,148000,0
68052941,Female,45,47000,0
21489730,Male,47,88000,0
80357491,Female,48,115000,0
51927804,Male,45,118000,0
30281795,Female,46,43000,0
64972031,Female,47,72000,0
57482901,Female,49,28000,0
83027941,Male,47,47000,0
49082175,Female,29,22000,0
73502498,Male,31,23000,1
62170983,Female,31,34000,0
89412075,Male,27,16000,0
50319784,Female,21,71000,0
72908451,Female,28,117000,0
85032479,Male,27,43000,0
68493021,Male,35,60000,1
57298043,Female,33,66000,0
49182750,Male,30,82000,0
83095721,Female,26,41000,0
69478132,Male,27,72000,0
52894713,Female,27,32000,0
40281975,Male,33,84000,0
87903125,Female,35,26000,0
64209783,Male,30,43000,0
51489703,Female,28,21000,0
82074391,Female,23,141000,0
49387012,Male,25,93000,0
85102973,Male,27,62000,0
73209458,Female,30,138000,0
69581042,Male,31,79000,0
42830791,Female,24,78000,0
87501932,Male,18,134000,0
20498173,Female,29,89000,0
83149270,Male,35,39000,0
57290314,Female,27,77000,0
49825701,Male,24,57000,0
71592084,Female,23,63000,0
80291754,Male,28,73000,0
39207845,Female,22,112000,0
72631408,Male,32,79000,0
48520793,Female,27,117000,0
93182074,Male,25,38000,0
69408125,Female,23,74000,0
50281947,Male,32,137000,0
71859302,Female,59,79000,0
83029471,Male,24,60000,0
62790413,Male,24,54000,0
49187053,Female,23,134000,0
89524107,Female,22,113000,0
73092185,Male,31,125000,1
58204193,Male,25,50000,0
49728035,Female,24,70000,0
82197305,Male,20,96000,0
95420738,Male,33,50000,0
69384012,Female,32,141000,0
57209843,Female,34,79000,0
49082735,Male,18,75000,0
87392105,Male,22,104000,0
62409873,Female,28,55000,1
30281579,Male,26,32000,0
84097213,Male,30,60000,0
57208493,Male,39,138000,0
49730128,Female,47,82000,0
81492073,Female,45,52000,0
53890274,Male,46,30000,0
73104985,Female,48,131000,0
82034197,Male,45,60000,0
57203948,Female,47,72000,0
69428013,Male,48,75000,0
80492173,Female,45,118000,0
53982041,Female,46,107000,0
69482031,Female,47,51000,1
48502179,Male,49,119000,1
82079431,Male,47,65000,0
57298431,Female,29,65000,0
48509731,Male,31,60000,0
82041379,Female,31,54000,0
57209483,Male,27,144000,0
39487201,Female,21,79000,0
84209731,Male,28,55000,0
50293418,Female,27,122000,1
83129470,Male,35,104000,0
57239014,Female,33,75000,0
49827501,Female,30,65000,0
71520984,Female,26,51000,0
84207391,Male,27,105000,0
59280743,Male,27,63000,0
80391472,Female,33,72000,0
53921047,Male,35,108000,0
9845162,Female,30,77000,0
7532491,Male,28,61000,0
6318402,Female,23,113000,0
5782093,Male,25,75000,0
4921578,Male,27,90000,0
8653124,Female,30,57000,1
2175694,Male,31,99000,0
9358274,Female,24,34000,0
4729638,Male,18,70000,0
6483921,Female,29,72000,0
5297146,Male,35,71000,0
8763519,Female,27,54000,0
3429561,Male,24,129000,0
7154893,Female,23,34000,0
6938147,Male,28,50000,0
2816473,Female,22,79000,0
7342569,Male,32,104000,0
5691243,Female,27,29000,0
8172534,Female,25,47000,0
4258376,Male,23,88000,0
9647513,Female,32,71000,0
5382976,Male,59,26000,0
4713628,Female,24,46000,0
8295714,Male,24,83000,0
7156832,Male,23,73000,0
6489173,Female,22,130000,1
3749651,Male,31,80000,0
8263145,Female,25,32000,1
5926741,Male,24,74000,0
7159326,Female,20,53000,1
6491375,Male,33,87000,0
3189645,Female,32,23000,1
8756312,Male,34,64000,0
5428963,Female,18,33000,1
1972485,Male,22,139000,1
6137549,Female,28,28000,0
4398715,Male,26,33000,0
8265713,Female,30,60000,0
9138642,Male,39,39000,1
7482593,Female,47,71000,0
6913485,Male,45,34000,0
2361974,Male,46,35000,0
4158376,Male,48,33000,1
8571962,Female,45,23000,0
6327941,Female,47,45000,1
5941673,Male,48,42000,1
8439216,Female,45,59000,1
7692485,Male,46,41000,0
3128954,Female,47,23000,0
6892547,Male,49,20000,1
5243769,Female,47,33000,1
4179836,Male,29,36000,0
9641257,Female,31,80000,1
2568314,Male,31,57000,1
7984231,Female,27,75000,0
3762915,Male,21,52000,1
5829746,Female,28,59000,1
7513962,Male,27,59000,0
2495873,Female,35,75000,1
6137592,Male,33,72000,0
8723946,Female,30,75000,0
9358621,Male,26,53000,0
4627391,Female,27,51000,1
8756431,Male,27,61000,1
5231867,Female,33,65000,0
6495273,Male,35,32000,1
8216354,Male,30,17000,1
3479265,Male,28,84000,0
9158643,Male,23,58000,1
7423569,Male,25,31000,0
5813769,Female,27,87000,1
9364512,Female,30,68000,0
8149263,Female,31,55000,1
3279165,Female,24,63000,0
8561423,Female,18,82000,0
7398214,Male,29,107000,1
4653192,Female,35,59000,1
8724395,Female,27,25000,0
6912473,Female,24,85000,1
5382946,Male,23,68000,0
1749265,Female,28,59000,0
9568132,Male,22,89000,1
4826315,Female,32,25000,1
7392861,Female,27,89000,0
6253849,Female,25,96000,1
5729486,Female,23,30000,1
3915247,Male,32,61000,0
8251637,Female,59,74000,1
1978456,Female,24,15000,1
6432579,Male,24,45000,1
7283651,Male,23,76000,1
5913647,Male,22,50000,1
8361925,Female,31,47000,0
4179635,Male,25,15000,0
6589321,Female,24,59000,0
2945186,Male,20,75000,1
8657912,Female,33,30000,0
4315876,Male,32,135000,0
7826149,Female,34,100000,0
5397824,Male,18,90000,0
8143659,Female,22,33000,0
6728193,Male,28,38000,0
9357861,Female,26,69000,0
5713926,Male,30,86000,0
4821965,Female,39,55000,0
7962518,Male,47,71000,0
3847956,Female,45,148000,0
9524671,Male,46,47000,0
4785193,Male,48,88000,0
3619852,Male,45,115000,0
8972136,Male,47,118000,0
5248397,Female,48,43000,0
6491523,Female,45,72000,1
7429853,Female,46,28000,0
3962478,Male,47,47000,0
8257394,Female,49,22000,0
5789134,Male,47,23000,0
4316897,Female,29,34000,0
8692153,Male,31,16000,0
7529481,Female,31,71000,0
9162548,Male,27,117000,0
6471325,Female,21,43000,0
8725491,Male,28,60000,0
3958617,Male,27,66000,0
5384791,Female,35,82000,0
6729541,Male,33,41000,0
4918236,Female,30,72000,0
8275913,Male,26,32000,1
5132976,Male,27,84000,0
6745912,Female,27,26000,0
7329481,Male,33,43000,0
8657132,Female,35,50000,0
6249738,Male,30,47000,0
5918364,Female,28,15000,0
8735924,Female,23,59000,0
4398576,Male,25,75000,0
8126479,Female,27,30000,0
5749362,Male,30,135000,0
3418695,Female,31,100000,0
9263174,Male,24,90000,1
7583964,Female,18,33000,0
4927153,Male,29,38000,0
6318752,Female,35,69000,0
8579324,Male,27,86000,0
3958612,Female,24,55000,0
6173845,Male,23,71000,0
7384521,Female,28,148000,0
5729184,Male,22,47000,0
4398572,Female,32,88000,0
6937842,Male,27,115000,1
2517893,Female,25,118000,0
8671325,Female,23,43000,0
5298476,Female,32,72000,0
7836951,Female,59,28000,0
4721963,Female,24,47000,0
6145398,Female,24,22000,0
9362745,Male,23,23000,0
7853149,Male,22,34000,0
3429576,Male,31,16000,0
6598312,Female,25,71000,0
8241365,Male,24,117000,0
5938641,Female,20,43000,1
7159842,Male,33,60000,0
8261473,Female,32,66000,0
4392857,Male,34,82000,0
6819345,Female,18,41000,0
9521783,Male,22,72000,0
6743129,Female,28,32000,1
7285136,Male,26,84000,0
4952867,Female,30,26000,0
8317452,Male,39,43000,0
6725193,Female,33,108000,0
5731492,Male,45,77000,0
8251793,Female,46,61000,0
4173926,Male,48,113000,0
8691245,Female,45,75000,0
6325794,Male,47,90000,0
4978153,Female,48,57000,0
